Attachments,Link Count,Word Count,Uppercase Count,Exclamation Count,Question Count,Dollar Count,Punctuation Count,HTML Tags Count,Spam Indicator
3,0,191,32,3,3,0,11,1,1
3,9,45,1,2,1,2,8,2,1
3,9,52,1,4,0,2,10,1,1
2,3,75,6,0,2,0,8,2,0
3,5,299,279,0,2,0,6,1,1
1,9,268,256,4,2,2,7,0,1
3,6,117,2,1,3,2,1,0,0
1,1,163,61,0,3,1,12,4,0
2,5,79,47,4,2,1,5,2,0
0,4,130,92,2,3,1,0,4,0
0,5,55,38,4,3,0,14,4,1
3,7,105,42,5,0,2,6,4,1
3,8,136,130,2,2,0,10,2,0
3,8,206,135,1,0,2,9,4,1
0,4,172,86,0,0,0,0,3,1
2,5,11,4,1,1,0,5,4,0
3,8,298,245,0,2,2,3,2,1
3,2,19,2,2,0,2,4,2,1
0,1,59,0,2,1,2,11,3,0
1,7,158,88,4,2,2,1,1,0
3,7,194,110,2,0,0,5,4,0
1,10,294,28,2,2,0,1,5,1
0,5,58,14,2,0,1,14,5,0
3,8,263,215,4,2,2,4,0,0
0,6,216,22,3,0,0,4,2,1
3,10,179,81,4,0,2,5,2,0
2,8,37,20,0,3,1,3,5,1
2,0,15,12,1,0,1,11,5,1
0,5,137,83,5,1,1,4,4,1
1,3,39,31,1,0,1,9,1,1
3,10,193,98,3,3,0,9,1,0
2,1,147,133,5,0,2,5,5,1
1,8,182,69,5,0,0,6,4,1
0,0,20,13,0,3,0,3,0,1
0,5,137,56,0,1,2,8,3,0
3,4,157,117,3,2,1,6,5,1
3,1,193,76,2,2,2,11,1,0
2,0,255,42,3,1,2,15,0,0
1,5,12,10,0,1,1,8,3,0
1,5,181,49,0,2,1,3,2,1
0,10,168,138,4,3,2,1,0,1
3,5,117,19,1,3,2,6,5,0
2,5,157,57,1,1,0,4,1,0
2,3,88,78,3,3,1,12,5,0
2,9,41,5,4,1,1,6,3,1
3,2,84,33,2,0,0,2,3,0
2,8,150,93,2,1,1,1,5,1
0,7,293,10,0,1,0,10,5,0
3,5,112,25,2,0,2,12,0,0
0,3,292,195,0,2,2,1,3,0
2,3,23,7,0,0,1,8,5,1
1,0,247,61,5,1,2,2,5,0
0,9,123,,0,0,2,0,0,1
2,4,83,22,5,2,2,5,0,1
3,6,14,10,0,0,1,2,3,1
